Strain,Stress [Mpa],,,,,,stretch,,642.4242817
0,0,,0,0,0,0,1,0,
-0.004009146,-2.55E-03,,-1.64318,-0.002547546,-0.050014,-0.00400112,0.99599888,-0.004009146,
-0.00803443,-5.10E-03,,-3.30568,-0.005104457,-0.100028,-0.00800224,0.99199776,-0.00803443,
-0.0141029,-8.96E-03,,-5.83643,-0.008957783,-0.175049,-0.01400392,0.98599608,-0.0141029,
-0.023275178,-1.48E-02,,-9.71833,-0.014779557,-0.28758,-0.0230064,0.9769936,-0.023275178,
-0.037193419,-2.36E-02,,-15.7431,-0.023611056,-0.456378,-0.03651024,0.96348976,-0.037193419,
-0.058175703,-3.69E-02,,-25.1453,-0.036929165,-0.706448,-0.05651584,0.94348416,-0.058175703,
-0.079607696,-5.06E-02,,-35.1686,-0.050554515,-0.956518,-0.07652144,0.92347856,-0.079607696,
-0.101509275,-6.45E-02,,-45.8777,-0.064520061,-1.20659,-0.0965272,0.9034728,-0.101509275,
-0.123901113,-7.89E-02,,-57.3462,-0.07886297,-1.45666,-0.1165328,0.8834672,-0.123901113,
-0.146805853,-0.093624248,,-69.6574,-0.093624248,-1.70673,-0.1365384,0.8634616,-0.146805853,
-0.170247542,-0.108849502,,-82.906,-0.108849502,-1.9568,-0.156544,0.843456,-0.170247542,
-0.194251962,-0.124589848,,-97.2002,-0.124589848,-2.20687,-0.1765496,0.8234504,-0.194251962,
-0.218846796,-0.140902683,,-112.664,-0.140902683,-2.45694,-0.1965552,0.8034448,-0.218846796,
-0.244061821,-0.157852642,,-129.44,-0.157852642,-2.70701,-0.2165608,0.7834392,-0.244061821,
-0.269929126,-0.175511789,,-147.692,-0.175511789,-2.95708,-0.2365664,0.7634336,-0.269929126,
-0.296483357,-0.193962107,,-167.61,-0.193962107,-3.20715,-0.256572,0.743428,-0.296483357,
-0.323761995,-0.213296816,,-189.415,-0.213296816,-3.45722,-0.2765776,0.7234224,-0.323761995,
-0.351805675,-0.233623219,,-213.366,-0.233623219,-3.70729,-0.2965832,0.7034168,-0.351805675,
-0.380658551,-0.255059972,,-239.763,-0.255059972,-3.95736,-0.3165888,0.6834112,-0.380658551,
-0.410368711,-0.277747223,,-268.963,-0.277747223,-4.20743,-0.3365944,0.6634056,-0.410368711,
-0.440988664,-0.30184575,,-301.388,-0.30184575,-4.4575,-0.3566,0.6434,-0.440988664,
-0.472575895,-0.327539455,,-337.538,-0.327539455,-4.70757,-0.3766056,0.6233944,-0.472575895,
-0.480631425,-0.334237146,,-347.226,-0.334237146,-4.77009,-0.3816072,0.6183928,-0.480631425,
-0.492836404,-0.344503369,,-362.286,-0.344503369,-4.86386,-0.3891088,0.6108912,-0.492836404,
-0.511012308,-0.360062999,,-385.594,-0.360062999,-5.0014,-0.400112,0.599888,-0.511012308,
