Strain,Stress [Mpa]
0,0
-0.004009146,-0.003801986
-0.00803443,-0.00761853
-0.0141029,-0.013370854
-0.023275178,-0.022062127
-0.037193419,-0.035242685
-0.058175703,-0.055096129
-0.079607696,-0.075353951
-0.101509275,-0.096033391
-0.123901113,-0.117153032
-0.146805853,-0.138733304
-0.170247542,-0.160792822
-0.194251962,-0.183356913
-0.218846796,-0.206448994
-0.225091447,-0.212307766
-0.234531145,-0.221161025
-0.248861439,-0.234592989
-0.270747869,-0.25508958
-0.293125126,-0.276022702
-0.316014608,-0.29741207
-0.343838823,-0.323381674
-0.372459438,-0.350058413
-0.401923387,-0.377483705
-0.432281885,-0.405700928
-0.463590954,-0.434759924
-0.47157286,-0.442162266
-0.483668409,-0.453372824
-0.488242552,-0.457609662
-0.495141269,-0.464001152
-0.505582062,-0.473662982
-0.505666953,-0.473740123
-0.505688176,-0.473759171
-0.505696135,-0.473765727
-0.505708074,-0.473776968
-0.505708074,-0.473776968
