Strain,Stress [Mpa],,,,,,stretch,,642.4242817
0,0,,0,0,0,0,1,0,
-0.004009146,-0.00380873,,-2.45665,-0.00380873,-0.050014,-0.00400112,0.99599888,-0.004009146,
-0.00803443,-0.007632334,,-4.94275,-0.007632334,-0.100028,-0.00800224,0.99199776,-0.00803443,
-0.0141029,-0.013395871,,-8.72806,-0.013395871,-0.175049,-0.01400392,0.98599608,-0.0141029,
-0.023275178,-0.022105318,,-14.5354,-0.022105318,-0.28758,-0.0230064,0.9769936,-0.023275178,
-0.037193419,-0.035316624,,-23.548,-0.035316624,-0.456378,-0.03651024,0.96348976,-0.037193419,
-0.058175703,-0.055222725,,-37.6015,-0.055222725,-0.706448,-0.05651584,0.94348416,-0.058175703,
-0.079607696,-0.075542693,,-52.5518,-0.075542693,-0.956518,-0.07652144,0.92347856,-0.079607696,
-0.101509275,-0.096294269,,-68.4711,-0.096294269,-1.20659,-0.0965272,0.9034728,-0.101509275,
-0.123901113,-0.117496559,,-85.4391,-0.117496559,-1.45666,-0.1165328,0.8834672,-0.123901113,
-0.146805853,-0.139170126,,-103.544,-0.139170126,-1.70673,-0.1365384,0.8634616,-0.146805853,
-0.170247542,-0.161336373,,-122.883,-0.161336373,-1.9568,-0.156544,0.843456,-0.170247542,
-0.194251962,-0.184018314,,-143.564,-0.184018314,-2.20687,-0.1765496,0.8234504,-0.194251962,
-0.218846796,-0.207241903,,-165.708,-0.207241903,-2.45694,-0.1965552,0.8034448,-0.218846796,
-0.244061821,-0.231033878,,-189.449,-0.231033878,-2.70701,-0.2165608,0.7834392,-0.244061821,
-0.269929126,-0.255422108,,-214.936,-0.255422108,-2.95708,-0.2365664,0.7634336,-0.269929126,
-0.296483357,-0.280439049,,-242.338,-0.280439049,-3.20715,-0.256572,0.743428,-0.296483357,
-0.323761995,-0.306118627,,-271.844,-0.306118627,-3.45722,-0.2765776,0.7234224,-0.323761995,
-0.351805675,-0.332496408,,-303.666,-0.332496408,-3.70729,-0.2965832,0.7034168,-0.351805675,
-0.380658551,-0.359612402,,-338.045,-0.359612402,-3.95736,-0.3165888,0.6834112,-0.380658551,
-0.410368711,-0.387510677,,-375.255,-0.387510677,-4.20743,-0.3365944,0.6634056,-0.410368711,
-0.440988664,-0.416238227,,-415.607,-0.416238227,-4.4575,-0.3566,0.6434,-0.440988664,
-0.472575895,-0.445846002,,-459.456,-0.445846002,-4.70757,-0.3766056,0.6233944,-0.472575895,
-0.480631425,-0.453391659,,-471.011,-0.453391659,-4.77009,-0.3816072,0.6183928,-0.480631425,
-0.492836404,-0.464822706,,-488.816,-0.464822706,-4.86386,-0.3891088,0.6108912,-0.492836404,
-0.49735016,-0.469048112,,-495.491,-0.469048112,-4.89825,-0.39186,0.60814,-0.49735016,
-0.50415724,-0.475422412,,-505.655,-0.475422412,-4.94982,-0.3959856,0.6040144,-0.50415724,
-0.50586727,-0.477021395,,-508.224,-0.477021395,-4.96272,-0.3970176,0.6029824,-0.50586727,
-0.50843648,-0.479426097,,-512.1,-0.479426097,-4.98206,-0.3985648,0.6014352,-0.50843648,
-0.50907915,-0.480029353,,-513.074,-0.480029353,-4.98689,-0.3989512,0.6010488,-0.50907915,
-0.509321422,-0.480254478,,-513.439,-0.480254478,-4.98871,-0.3990968,0.6009032,-0.509321422,
-0.509411957,-0.480339134,,-513.576,-0.480339134,-4.98939,-0.3991512,0.6008488,-0.509411957,
-0.509502499,-0.480423767,,-513.713,-0.480423767,-4.99007,-0.3992056,0.6007944,-0.509502499,
-0.509525136,-0.480444688,,-513.747,-0.480444688,-4.99024,-0.3992192,0.6007808,-0.509525136,
-0.509533126,-0.480453007,,-513.76,-0.480453007,-4.9903,-0.399224,0.600776,-0.509533126,
-0.509546442,-0.480464377,,-513.779,-0.480464377,-4.9904,-0.399232,0.600768,-0.509546442,
-0.509546442,-0.480464377,,-513.779,-0.480464377,-4.9904,-0.399232,0.600768,-0.509546442,
