Strain,Stress [Mpa],,,,,stretch,,642.4242817
0,0,0,0,0,0,1,0,
-0.004009146,-0.004156045,-2.68067,-0.004156045,-0.050014,-0.00400112,0.99599888,-0.004009146,
-0.00803443,-0.008329393,-5.39417,-0.008329393,-0.100028,-0.00800224,0.99199776,-0.00803443,
-0.0141029,-0.014621904,-9.52688,-0.014621904,-0.175049,-0.01400392,0.98599608,-0.0141029,
-0.023275178,-0.024133902,-15.8693,-0.024133902,-0.28758,-0.0230064,0.9769936,-0.023275178,
-0.037193419,-0.038566629,-25.715,-0.038566629,-0.456378,-0.03651024,0.96348976,-0.037193419,
-0.058175703,-0.060313294,-41.0677,-0.060313294,-0.706448,-0.05651584,0.94348416,-0.058175703,
-0.079607696,-0.082495977,-57.3889,-0.082495977,-0.956518,-0.07652144,0.92347856,-0.079607696,
-0.101509275,-0.105115312,-74.7434,-0.105115312,-1.20659,-0.0965272,0.9034728,-0.101509275,
-0.123901113,-0.128171201,-93.2013,-0.128171201,-1.45666,-0.1165328,0.8834672,-0.123901113,
-0.146805853,-0.151663233,-112.839,-0.151663233,-1.70673,-0.1365384,0.8634616,-0.146805853,
-0.170247542,-0.175589506,-133.739,-0.175589506,-1.9568,-0.156544,0.843456,-0.170247542,
-0.194251962,-0.199949631,-155.993,-0.199949631,-2.20687,-0.1765496,0.8234504,-0.194251962,
-0.218846796,-0.224738429,-179.698,-0.224738429,-2.45694,-0.1965552,0.8034448,-0.218846796,
-0.244061821,-0.249955707,-204.965,-0.249955707,-2.70701,-0.2165608,0.7834392,-0.244061821,
-0.269929126,-0.275594579,-231.911,-0.275594579,-2.95708,-0.2365664,0.7634336,-0.269929126,
-0.296483357,-0.301652099,-260.669,-0.301652099,-3.20715,-0.256572,0.743428,-0.296483357,
-0.323761995,-0.328120016,-291.382,-0.328120016,-3.45722,-0.2765776,0.7234224,-0.323761995,
-0.351805675,-0.354993069,-324.212,-0.354993069,-3.70729,-0.2965832,0.7034168,-0.351805675,
-0.380658551,-0.38226284,-359.337,-0.38226284,-3.95736,-0.3165888,0.6834112,-0.380658551,
-0.410368711,-0.409918358,-396.954,-0.409918358,-4.20743,-0.3365944,0.6634056,-0.410368711,
-0.440988664,-0.437950153,-437.286,-0.437950153,-4.4575,-0.3566,0.6434,-0.440988664,
-0.472575895,-0.466345237,-480.581,-0.466345237,-4.70757,-0.3766056,0.6233944,-0.472575895,
-0.505193514,-0.495088848,-527.118,-0.495088848,-4.95764,-0.3966112,0.6033888,-0.505193514,
-0.511012308,-0.50015359,-535.618,-0.50015359,-5.0014,-0.400112,0.599888,-0.511012308,
