Strain,Stress [Mpa]
0,0
-0.004009146,-0.003749475
-0.00803443,-0.007498858
-0.0141029,-0.013122584
-0.023275178,-0.021556768
-0.037193419,-0.034202894
-0.058175703,-0.052919912
-0.079607696,-0.071604977
-0.101509275,-0.090246405
-0.123901113,-0.108831922
-0.146805853,-0.127349052
-0.170247542,-0.145784756
-0.194251962,-0.164124997
-0.218846796,-0.182354065
-0.244061821,-0.200458465
-0.269929126,-0.218420032
-0.296483357,-0.236222725
-0.323761995,-0.253844776
-0.351805675,-0.271266202
-0.380658551,-0.288463305
-0.410368711,-0.305410109
-0.440988664,-0.322077432
-0.472575895,-0.338433889
-0.505193514,-0.35444183
-0.511012308,-0.357205608
