Strain,Stress [Mpa]
0,0
0.025339893,0.0214797
0.050069931,0.0424943
0.086074939,0.0732881
0.137797338,0.118233
0.210722233,0.18386
0.309839391,0.279622
0.400010257,0.376226
0.4827243,0.475588
0.559155902,0.579007
0.630234414,0.687318
0.696667515,0.801033
0.759038272,0.920476
0.817817216,1.04587
0.873410531,1.17738
0.926146009,1.31512
0.976313689,1.45916
1.024156722,1.60954
1.035892557,1.6486
1.053061717,1.70714
1.059471839,1.72951
1.061862919,1.73792
1.065417914,1.75049
1.070730776,1.76941
1.078650787,1.79795
1.081622885,1.8088
1.082734334,1.81287
1.084389312,1.81893
1.085013577,1.82123
1.085943402,1.82465
1.087338464,1.82977
1.087864481,1.83172
1.088059625,1.83245
1.088132956,1.83272
1.088244368,1.83312
1.088409649,1.83373
1.088656742,1.83465
1.089029598,1.83602
1.089586033,1.83807
1.090420106,1.84116
1.091671591,1.84579
1.092142688,1.84755
1.092845694,1.85016
1.093898117,1.85407
1.093898117,
