Strain,Stress [Mpa]
0,0
0.025303878,0.0320455
0.050000421,0.0633217
0.085964406,0.10886
0.137644853,0.174304
0.210563959,0.266634
0.309795376,0.392301
0.400186586,0.506795
0.483197931,0.611858
0.559973526,0.708842
0.631423975,0.798908
0.698261771,0.883075
0.761074664,0.96221
0.776240733,0.981317
0.781867161,0.988411
0.783971791,0.991063
0.78711275,0.995186
0.788288115,0.996529
0.78873075,0.997071
0.789392937,0.997899
0.78963883,0.998212
0.789732072,0.998329
0.789870348,0.998504
0.789924465,0.99857
0.790004066,0.998666
0.790031994,0.998704
0.790043165,0.998717
0.790063413,0.998737
0.790088896,0.998768
0.790128341,0.998814
0.790145794,0.998837
0.790168832,0.99884
0.790205482,0.998771
0.790260629,0.998803
0.790331477,0.998981
0.790331477,0.998981
