Strain,Stress [Mpa]
0,0
0.011968952,0.00761263
0.023897435,0.0152119
0.04171056,0.0265899
0.068239788,0.0436224
0.107568077,0.0691346
0.164697721,0.106974
0.220332671,0.145036
0.274356682,0.183485
0.326685935,0.222461
0.377285088,0.262084
0.426134462,0.30245
0.473244206,0.34364
0.518654895,0.385717
0.562404277,0.428734
0.604556375,0.472732
0.645174682,0.517744
0.684318321,0.563799
0.722071477,0.610909
0.758491627,0.659103
0.79365896,0.708382
0.827628538,0.758757
0.860473536,0.810235
0.892241179,0.862816
0.89770033,0.872139
