Strain,Stress [Mpa]
0,0
0.011971916,0.0124071
0.023911169,0.024771
0.041761073,0.0432306
0.068408523,0.0707102
0.108115118,0.111405
0.166423065,0.170371
0.224212846,0.227516
0.281593072,0.282589
0.338663168,0.335375
0.395514431,0.385715
0.452208735,0.433541
0.508763499,0.478909
0.565124397,0.522069
0.621364707,0.563343
0.676234972,0.603564
0.72892608,0.64302
0.777760963,0.682104
0.822264261,0.721468
0.862147063,0.762341
0.898490578,0.80471
0.931160953,0.849029
0.961032076,0.89599
0.988693251,0.946203
0.993362878,0.955402
