Strain,Stress [Mpa]
0,0
0.011953538,0.0112693
0.023837288,0.0226056
0.04153534,0.0397295
0.06780194,0.0656704
0.10659775,0.105103
0.162825516,0.164502
0.217702643,0.224782
0.271390076,0.285608
0.324062699,0.346603
0.375917284,0.407359
0.388775497,0.422465
0.407999671,0.445024
0.436718267,0.4786
0.479619746,0.528201
0.530420386,0.585431
0.581518915,0.640502
0.63341133,0.693024
0.68752809,0.742874
0.701677362,0.755139
0.724277563,0.773983
0.733937175,0.781773
0.738212957,0.785158
0.740091197,0.786599
0.740885999,0.787178
0.74227697,0.788104
0.743016128,0.78846
0.74350437,0.788574
0.74350437,0.788574
